START_DEST,END_DEST,CAR_NAME,CAR_IMAGE,PEOPLE_LOGO_COUNT,LUGGAGE_LOGO_COUNT,LOGO,FLEX_DURATION,FLEX_RATE,FLEX_DEATILS,COMFORT_DURATION,COMFORT_RATE,COMFORT_DEATILS
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: A CITROEN C1 5 Doors or similar,https://www.autounion.gr/usercontent/images/CITROEN%20C1.jpg,4,2,M,1 day Rental,"178,69","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"185,89","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: B FIAT PANDA 5 Doors or similar,https://www.autounion.gr/usercontent/images/Greece/FIAT%20PANDA.jpg,4,2,M,1 day Rental,"182,44","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"189,64","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: BB OPEL CORSA 3 Doors or similar,https://www.autounion.gr/usercontent/images/Greece/OPEL%20CORSA%205%20door.jpg,5,2,M,1 day Rental,"184,42","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"191,62","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: BA TOYOTA YARIS 5 Doors or similar,https://www.autounion.gr/usercontent/images/Greece/TOYOTA%20YARIS.jpg,4,2,M,1 day Rental,"187,93","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"195,13","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: B1 VW POLO 5 Doors or similar,https://www.autounion.gr/usercontent/images/Greece/VW%20POLO.jpg,5,2,M,1 day Rental,"190,04","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"197,24","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: CA SUZUKI BALENO 3 Doors or similar,https://www.autounion.gr/usercontent/images/Greece/SUZUKI%20BALENO.jpg,5,2,M,1 day Rental,"193,49","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"200,69","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: C SUZUKI BALENO 5 Doors or similar,https://www.autounion.gr/usercontent/images/NISSAN%20NOTE.jpg,5,2,M,1 day Rental,"196,12","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"203,32","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: CAD VW POLO DIESEL 5 Doors or similar,https://www.autounion.gr/usercontent/images/VW%20POLO.jpg,5,2,M,1 day Rental,"202,96","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"210,16","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: D FORD FOCUS/ HYUNDAI i30 5 Doors or similar,https://www.autounion.gr/usercontent/images/FORD%20FOCUS%205%20DOOR.jpg,5,3,M,1 day Rental,"202,96","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"210,16","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
Eden Roc Hotel at 17/05/2024 01:45,Eden Roc Hotel at 17/05/2024 05:45,Grp: A1 Fiat 500c Cabrio 2 Doors or similar,https://www.autounion.gr/usercontent/images/FIAT%20500%20CABRIO.jpg,4,2,M,1 day Rental,"209,79","CDW with deductible amount : €700.00 for car groups A-CAD, €900.00 for car groups A1, D, DD, D1, D2, KA, E1, F, F1D
€1200.00 for car groups A2,H, H1, IB,J,JA, J1, J1A, J2, J2A, J3A, M, MD, M1,M1A, M1D,N,NA,P, €1300.00 for car group IA
€2.000.00 for car group J4,  €2.200.00 for car group L
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes",1 day Rental,"216,99","Full Damage Waiver with 0 Euro deductible amount
Unlimited mileage
Third party up to 1.000.000 euro for bodily injuries and 1.000.000 euro for property damages, 
TW:Theft & Fire Ins
Local Taxes"
